Variable:,tasmin
Country:,Belgium
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2008,2.78,0.96,2.35,4.04,9.98,11.47,12.99,13.27,9.10,6.10,3.93,-0.06
2009,-2.84,-0.38,1.91,6.59,8.81,10.91,13.38,13.62,10.77,6.89,6.38,0.02
2010,-2.94,-1.05,1.93,4.16,6.38,11.62,14.90,12.59,9.22,6.21,3.46,-3.46
2011,0.87,1.31,2.36,6.58,8.64,11.55,11.49,12.75,11.32,7.14,4.37,3.16
2012,2.06,-3.45,3.62,3.75,9.21,10.87,12.73,13.84,9.40,7.01,3.93,2.02
2013,-0.27,-1.65,-0.82,3.76,6.80,10.73,14.28,13.13,10.27,8.77,3.63,2.35
2014,2.88,2.63,3.51,6.86,8.38,11.58,14.47,11.78,11.32,9.43,5.52,2.15
2015,0.97,-0.24,2.15,3.87,7.73,10.99,14.01,14.18,8.97,6.39,6.35,5.74
2016,1.69,1.53,1.50,3.86,9.02,12.14,13.74,13.01,12.54,6.12,2.75,1.13
2017,-2.12,1.89,4.62,3.51,9.64,13.21,13.90,13.11,9.56,8.82,3.77,1.98
2018,3.11,-2.50,0.87,7.15,10.37,12.65,15.23,13.95,9.92,7.56,3.90,3.30
2019,0.39,2.58,3.94,5.10,6.59,13.13,14.05,13.72,10.10,8.06,3.54,2.77
2020,2.67,3.22,2.72,5.85,7.47,12.33,12.54,15.46,10.82,7.78,5.02,2.96
2021,0.44,0.74,2.13,1.57,6.39,13.43,13.34,12.72,11.17,6.93,3.71,2.79
